common_name,pubchem_id,flavor_profile,detail_url,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,IUPACName
CID 18179180,18179180,sweet,,18179180,C6H14CaCl2O6,293.15,C(C(C(C(C(CO)O)O)O)O)O.[Cl-].[Cl-].[Ca+2],C(C(C(C(C(CO)O)O)O)O)O.[Cl-].[Cl-].[Ca+2],"calcium;hexane-1,2,3,4,5,6-hexol;dichloride"
53897-60-2,18185507,"garlic,onion,sulfurous,green",,18185507,C6H14S3,182.4,CCC(S)SC(CC)S,CCC(S)SC(CC)S,1-(1-sulfanylpropylsulfanyl)propane-1-thiol
CID 18185967,18185967,sweet,,18185967,C12H26O12,362.33,C(C(C(C(C(CO)O)O)O)O)O.C(C(C(C(C(C=O)O)O)O)O)O,C(C(C(C(C(CO)O)O)O)O)O.C(C(C(C(C(C=O)O)O)O)O)O,"hexane-1,2,3,4,5,6-hexol;2,3,4,5,6-pentahydroxyhexanal"
Asn-Phe,18218184,sweet,,18218184,C13H17N3O4,279.29,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)N)N,"2-[(2,4-diamino-4-oxobutanoyl)amino]-3-phenylpropanoic acid"
Gln-Phe,18218210,sweet,,18218210,C14H19N3O4,293.32,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)N)N,"2-[(2,5-diamino-5-oxopentanoyl)amino]-3-phenylpropanoic acid"
SCHEMBL10646215,18218266,sweet,,18218266,C15H21N3O4,307.34,CC(C(=O)NC(C)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,CC(C(=O)NC(C)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,2-[2-(2-aminopropanoylamino)propanoylamino]-3-phenylpropanoic acid
CID 18218299,18218299,sweet,,18218299,C16H22N4O5,350.37,CC(C(=O)NC(CC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,CC(C(=O)NC(CC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,2-[[4-amino-2-(2-aminopropanoylamino)-4-oxobutanoyl]amino]-3-phenylpropanoic acid
CID 18218318,18218318,sweet,,18218318,C16H21N3O6,351.35,CC(C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,CC(C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,3-(2-aminopropanoylamino)-4-[(1-carboxy-2-phenylethyl)amino]-4-oxobutanoic acid
CID 18218373,18218373,sweet,,18218373,C17H24N4O5,364.4,CC(C(=O)NC(CCC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,CC(C(=O)NC(CCC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,2-[[5-amino-2-(2-aminopropanoylamino)-5-oxopentanoyl]amino]-3-phenylpropanoic acid
CID 18218435,18218435,sweet,,18218435,C18H27N3O4,349.4,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(C)N,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(C)N,2-[[2-(2-aminopropanoylamino)-4-methylpentanoyl]amino]-3-phenylpropanoic acid
CID 18218453,18218453,sweet,,18218453,C18H28N4O4,364.4,CC(C(=O)NC(CCCCN)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,CC(C(=O)NC(CCCCN)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,2-[[6-amino-2-(2-aminopropanoylamino)hexanoyl]amino]-3-phenylpropanoic acid
CID 18218480,18218480,sweet,,18218480,C16H22N4O5,350.37,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)N)C(=O)O)N,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)N)C(=O)O)N,4-amino-2-[[2-(2-aminopropanoylamino)-3-phenylpropanoyl]amino]-4-oxobutanoic acid
AM033842,18218481,sweet,,18218481,C16H21N3O6,351.35,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)O)N,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)O)N,2-[[2-(2-aminopropanoylamino)-3-phenylpropanoyl]amino]butanedioic acid
CID 18218518,18218518,sweet,,18218518,C15H21N3O5,323.34,CC(C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,CC(C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,2-[[2-(2-aminopropanoylamino)-3-hydroxypropanoyl]amino]-3-phenylpropanoic acid
