common_name,pubchem_id,flavor_profile,detail_url,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,IUPACName
1-Aminopropan-2-ol,4,fishy,,4,C3H9NO,75.11,CC(CN)O,CC(CN)O,1-aminopropan-2-ol
2-Deoxyhexopyranose,40,sweet,,40,C6H12O5,164.16,C1C(C(C(OC1O)CO)O)O,C1C(C(C(OC1O)CO)O)O,"6-(hydroxymethyl)oxane-2,4,5-triol"
3-Methyl-2-oxovaleric acid,47,Not Available,,47,C6H10O3,130.14,CCC(C)C(=O)C(=O)O,CCC(C)C(=O)C(=O)O,3-methyl-2-oxopentanoic acid
3-Methyl-2-oxobutanoic acid,49,fruity,,49,C5H8O3,116.11,CC(C)C(=O)C(=O)O,CC(C)C(=O)C(=O)O,3-methyl-2-oxobutanoic acid
2-ketoglutaric acid,51,odorless,,51,C5H6O5,146.10,C(CC(=O)O)C(=O)C(=O)O,C(CC(=O)O)C(=O)C(=O)O,2-oxopentanedioic acid
2-oxobutanoic acid,58,"brown,caramel,lactonic,sweet,creamy",,58,C4H6O3,102.09,CCC(=O)C(=O)O,CCC(=O)C(=O)O,2-oxobutanoic acid
4-Methyl-2-oxovaleric acid,70,fruity,,70,C6H10O3,130.14,CC(C)CC(=O)C(=O)O,CC(C)CC(=O)C(=O)O,4-methyl-2-oxopentanoic acid
"3,4-Dihydroxybenzoic Acid",72,"phenolic,balsamic,mild",,72,C7H6O4,154.12,C1=CC(=C(C=C1C(=O)O)O)O,C1=CC(=C(C=C1C(=O)O)O)O,"3,4-dihydroxybenzoic acid"
AC1L18F4,73,sweet-like,,73,C10H15N5O10P2,427.20,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate
3-Phenylpropanoic acid,107,"balsamic,rose,fatty,sweet,musk,cinnamon",,107,C9H10O2,150.17,C1=CC=C(C=C1)CCC(=O)O,C1=CC=C(C=C1)CCC(=O)O,3-phenylpropanoic acid
4-aminobutyric acid,119,"savory,meaty",,119,C4H9NO2,103.12,C(CC(=O)O)CN,C(CC(=O)O)CN,4-aminobutanoic acid
4-hydroxybenzyl alcohol,125,"coconut,bitter,sweet,fruity,almond",,125,C7H8O2,124.14,C1=CC(=CC=C1CO)O,C1=CC(=CC=C1CO)O,4-(hydroxymethyl)phenol
4-hydroxybenzaldehyde,126,"woody,sweet,balsam,nutty,almond",,126,C7H6O2,122.12,C1=CC(=CC=C1C=O)O,C1=CC(=CC=C1C=O)O,4-hydroxybenzaldehyde
4-Hydroxybenzoic Acid,135,"nutty,phenolic",,135,C7H6O3,138.12,C1=CC(=CC=C1C(=O)O)O,C1=CC(=CC=C1C(=O)O)O,4-hydroxybenzoic acid
acetic acid,176,"sour,pungent,sharp,vinegar",,176,C2H4O2,60.05,CC(=O)O,CC(=O)O,acetic acid
acetaldehyde,177,"ethereal,ether,whiskey,pungent,fruity,aldehydic",,177,C2H4O,44.05,CC=O,CC=O,acetaldehyde
acetamide,178,mousy,,178,C2H5NO,59.07,CC(=O)N,CC(=O)N,acetamide
acetoin,179,"butter,cream,milky,fatty,creamy,sweet,dairy,buttery",,179,C4H8O2,88.11,CC(C(=O)C)O,CC(C(=O)C)O,3-hydroxybutan-2-one
acetone,180,"solvent,apple,pear,ethereal",,180,C3H6O,58.08,CC(=O)C,CC(=O)C,propan-2-one
AC1L18OC,188,sweet,,188,C14H24O12,384.33,CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,"[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl] acetate"
3228-71-5,191,sweet-like,,191,C10H13N5O4,267.24,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol"
adipic acid,196,odorless,,196,C6H10O4,146.14,C(CCC(=O)O)CC(=O)O,C(CCC(=O)O)CC(=O)O,hexanedioic acid
"Adenosine-5'-Diphosphate, free acid",197,sweet-like,,197,C10H15N5O10P2,427.20,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate"
Hexopyranose,206,sweet,,206,C6H12O6,180.16,C(C1C(C(C(C(O1)O)O)O)O)O,C(C1C(C(C(C(O1)O)O)O)O)O,"6-(hydroxymethyl)oxane-2,3,4,5-tetrol"
ammonia,222,ammoniacal,,222,H3N,17.031,N,N,azane
NSC20264,224,sweet-like,,224,C10H14N5O7P,347.22,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate"
AC1L18RM,228,sweet-like,,228,C10H14N5O10PS,427.29,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N,"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl sulfo hydrogen phosphate"
Pentopyranose,229,sweet,,229,C5H10O5,150.13,C1C(C(C(C(O1)O)O)O)O,C1C(C(C(C(O1)O)O)O)O,"oxane-2,3,4,5-tetrol"
Adenosine 5'-triphosphate disodium salt,238,sweet-like,,238,C10H16N5O13P3,507.18,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate"
beta-alanine,239,"sweet,odorless",,239,C3H7NO2,89.09,C(CN)C(=O)O,C(CN)C(=O)O,3-aminopropanoic acid
benzaldehyde,240,"cherry,almond,sweet,burnt sugar,sharp,strong,bitter",,240,C7H6O,106.12,C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)C=O,benzaldehyde
benzoic acid,243,"balsam,urine,faint",,243,C7H6O2,122.12,C1=CC=C(C=C1)C(=O)O,C1=CC=C(C=C1)C(=O)O,benzoic acid
benzyl alcohol,244,"berry,balsamic,rose,floral,walnut,sweet,cherry,phenolic,flower,grapefruit",,244,C7H8O,108.14,C1=CC=C(C=C1)CO,C1=CC=C(C=C1)CO,phenylmethanol
betaine,247,bland,,247,C5H11NO2,117.15,C[N+](C)(C)CC(=O)[O-],C[N+](C)(C)CC(=O)[O-],2-(trimethylazaniumyl)acetate
butyraldehyde,261,"bready,chocolate,creamy,pear,vegetable,fatty,earthy,woody,pungent,nutty,wine_like,meaty,spicy,citrus,herbaceous,green,apple,floral,musty,cocoa,fruity,malty",,261,C4H8O,72.11,CCCC=O,CCCC=O,butanal
"2,3-butanediol",262,"onion,fruit,creamy,fruity,buttery",,262,C4H10O2,90.12,CC(C(C)O)O,CC(C(C)O)O,"butane-2,3-diol"
1-butanol,263,"oil,vanilla,fruit,fusel,sweet,balsam,medicine,medicinal",,263,C4H10O,74.12,CCCCO,CCCCO,butan-1-ol
butyric acid,264,"butter,sweat,acetic,sharp,rancid,fruit,cheese",,264,C4H8O2,88.11,CCCC(=O)O,CCCC(=O)O,butanoic acid
NSC94017,274,sweet-like,,274,C10H12N5O6P,329.21,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,"6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol"
carbon dioxide,280,odorless,,280,CO2,44.009,C(=O)=O,C(=O)=O,carbon dioxide
formic acid,284,"pungent,vinegar,formyl",,284,CH2O2,46.025,C(=O)O,C(=O)O,formic acid
cellobiose,294,sweet,,294,C12H22O11,342.30,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,"2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol"
Aconitic Acid,309,"musty,nutty,very mild",,309,C6H6O6,174.11,C(C(=CC(=O)O)C(=O)O)C(=O)O,C(C(=CC(=O)O)C(=O)O)C(=O)O,"prop-1-ene-1,2,3-tricarboxylic acid"
citric acid,311,odorless,,311,C6H8O7,192.12,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"2-hydroxypropane-1,2,3-tricarboxylic acid"
hydrochloric acid,313,Not Available,,313,ClH,36.46,Cl,Cl,chlorane
coumarin,323,"sweet,new mown hay,green,tonka,bitter",,323,C9H6O2,146.14,C1=CC=C2C(=C1)C=CC(=O)O2,C1=CC=C2C(=C1)C=CC(=O)O2,chromen-2-one
4-isopropylbenzyl alcohol,325,"spicy,herb,herbal,leather,caraway,strong,wood,cumin",,325,C10H14O,150.22,CC(C)C1=CC=C(C=C1)CO,CC(C)C1=CC=C(C=C1)CO,(4-propan-2-ylphenyl)methanol
4-isopropylbenzaldehyde,326,"spicy,acid,herbal,sharp,oily,cumin,green",,326,C10H12O,148.20,CC(C)C1=CC=C(C=C1)C=O,CC(C)C1=CC=C(C=C1)C=O,4-propan-2-ylbenzaldehyde
2-Methoxy-4-vinylphenol,332,"curry,smoky,clove,peanut,spicy",,332,C9H10O2,150.17,COC1=C(C=CC(=C1)C=C)O,COC1=C(C=CC(=C1)C=C)O,4-ethenyl-2-methoxyphenol
o-cresol,335,"phenol,musty,medicinal,phenolic",,335,C7H8O,108.14,CC1=CC=CC=C1O,CC1=CC=CC=C1O,2-methylphenol
salicylic acid,338,"nutty,faint,phenolic",,338,C7H6O3,138.12,C1=CC=C(C(=C1)C(=O)O)O,C1=CC=C(C(=C1)C(=O)O)O,2-hydroxybenzoic acid
m-cresol,342,"medical,leather,woody,fecal,phenolic,medicinal,plastic",,342,C7H8O,108.14,CC1=CC(=CC=C1)O,CC1=CC(=CC=C1)O,3-methylphenol
octane,356,"alkane,gasoline",,356,C8H18,114.23,CCCCCCCC,CCCCCCCC,octane
Gallic acid,370,bitter,,370,C7H6O5,170.12,C1=C(C=C(C(=C1O)O)O)C(=O)O,C1=C(C=C(C(=C1O)O)O)C(=O)O,"3,4,5-trihydroxybenzoic acid"
octanoic acid,379,"cheesy,sweat,vegetable,waxy,fatty,rancid,oily,cheese",,379,C8H16O2,144.21,CCCCCCCC(=O)O,CCCCCCCC(=O)O,octanoic acid
"2,5-Diaminopentanoic acid",389,"bark,green,mild",,389,C5H12N2O2,132.16,C(CC(C(=O)O)N)CN,C(CC(C(=O)O)N)CN,"2,5-diaminopentanoic acid"
hydrogen sulfide,402,"egg,rotten",,402,H2S,34.08,S,S,sulfane
Hexitol,453,sweet,,453,C6H14O6,182.17,C(C(C(C(C(CO)O)O)O)O)O,C(C(C(C(C(CO)O)O)O)O)O,"hexane-1,2,3,4,5,6-hexol"
Octanal,454,"lemon,citrus,soap,orange peel,fat,waxy,fatty,aldehydic,green",,454,C8H16O,128.21,CCCCCCCC=O,CCCCCCCC=O,octanal
guaiacol,460,"spice,vanilla,smoky,sweet,woody,phenolic,medicine,medicinal,smoke",,460,C7H8O2,124.14,COC1=CC=CC=C1O,COC1=CC=CC=C1O,2-methoxyphenol
4-Methylthio-2-oxobutanoic acid,473,Not Available,,473,C5H8O3S,148.18,CSCCC(=O)C(=O)O,CSCCC(=O)C(=O)O,4-methylsulfanyl-2-oxobutanoic acid
AC1L19BG,474,sweet-like,,474,C12H19N6O7P,390.29,CN(C)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,CN(C)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dimethylamino hydrogen phosphate"
58337-43-2,508,sweet-like,,508,C10H17N5O16P4,587.16,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [hydroxy(phosphonooxy)phosphoryl] hydrogen phosphate"
Propionaldehyde,527,"solvent,alcohol,whiskey,wine,earthy,cocoa,pungent,nutty",,527,C3H6O,58.08,CCC=O,CCC=O,propanal
Dl-Alanine,602,odorless,,602,C3H7NO2,89.09,CC(C(=O)O)N,CC(C(=O)O)N,2-aminopropanoic acid
Hexonic acid,604,sweet,,604,C6H12O7,196.16,C(C(C(C(C(C(=O)O)O)O)O)O)O,C(C(C(C(C(C(=O)O)O)O)O)O)O,"2,3,4,5,6-pentahydroxyhexanoic acid"
lactic acid,612,odorless,,612,C3H6O3,90.08,CC(C(=O)O)O,CC(C(=O)O)O,2-hydroxypropanoic acid
AC1Q6S1V,620,sweet-like,,620,C10H15N5O9P2,411.20,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O,[5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate
"Adenosine, 5'-phosphoric acid",621,sweet-like,,621,C10H14N5O6P,331.22,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,[5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate
2'-Deoxyadenosine 5'-triphosphate disodium salt(dATP),622,sweet-like,,622,C10H16N5O12P3,491.18,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,[[5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate
"2,3-butanedione",650,"butter,caramel,oily,creamy,sweet,pungent,strong",,650,C4H6O2,86.09,CC(=O)C(=O)C,CC(=O)C(=O)C,"butane-2,3-dione"
CID 653,653,bitter,,653,C19H12O6,336.3,C1=CC=C2C(=C1)C(=O)C(=C(O2)O)CC3=C(OC4=CC=CC=C4C3=O)O,C1=CC=C2C(=C1)C(=O)C(=C(O2)O)CC3=C(OC4=CC=CC=C4C3=O)O,2-hydroxy-3-[(2-hydroxy-4-oxochromen-3-yl)methyl]chromen-4-one
dihydrocoumarin,660,"coconut,tobacco,coumarin,herbal,creamy,sweet,cinnamon,almond,tonka",,660,C9H8O2,148.16,C1CC(=O)OC2=CC=CC=C21,C1CC(=O)OC2=CC=CC=C21,"3,4-dihydrochromen-2-one"
"1,3-dihydroxyacetone",670,minty,,670,C3H6O3,90.08,C(C(=O)CO)O,C(C(=O)CO)O,"1,3-dihydroxypropan-2-one"
dimethylamine,674,Not Available,,674,C2H7N,45.08,CNC,CNC,N-methylmethanamine
dimethyl sulfoxide,679,"fatty,mushroom,cheesy,garlic,bitter,oily",,679,C2H6OS,78.14,CS(=O)C,CS(=O)C,methylsulfinylmethane
ethanol,702,"alcoholic,ethereal,medical,sweet,strong",,702,C2H6O,46.07,CCO,CCO,ethanol
AC1L19U2,704,sweet-like,,704,C15H26N6O13P2,560.35,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC(C(C(CN)O)O)O)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC(C(C(CN)O)O)O)O)O)N,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (5-amino-2,3,4-trihydroxypentyl) hydrogen phosphate"
Glutaric Acid,743,odorless,,743,C5H8O4,132.11,C(CC(=O)O)CC(=O)O,C(CC(=O)O)CC(=O)O,pentanedioic acid
glycine,750,"oily,odorless,sweet,fatty,waxy",,750,C2H5NO2,75.07,C(C(=O)O)N,C(C(=O)O)N,2-aminoacetic acid
glycerol,753,"odorless,sweet",,753,C3H8O3,92.09,C(C(CO)O)O,C(C(CO)O)O,"propane-1,2,3-triol"
hydrogen cyanide,768,bitter,,768,CHN,27.025,C#N,C#N,formonitrile
hydrogen peroxide,784,bitter,,784,H2O2,34.015,OO,OO,hydrogen peroxide
hydroquinone,785,Not Available,,785,C6H6O2,110.11,C1=CC(=CC=C1O)O,C1=CC(=CC=C1O)O,"benzene-1,4-diol"
Dl-Isoleucine,791,"odorless,sweet",,791,C6H13NO2,131.17,CCC(C)C(C(=O)O)N,CCC(C)C(C(=O)O)N,2-amino-3-methylpentanoic acid
indole,798,"burnt,jasmine,mothball,animal,fishy,floral,moth ball,naphthelene,honey,fecal",,798,C8H7N,117.15,C1=CC=C2C(=C1)C=CN2,C1=CC=C2C(=C1)C=CN2,1H-indole
indole-3-acetic acid,802,"sour,odorless,mild",,802,C10H9NO2,175.18,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,2-(1H-indol-3-yl)acetic acid
"pentane-1,2,3,4,5-pentol",827,sweet,,827,C5H12O5,152.15,C(C(C(C(CO)O)O)O)O,C(C(C(C(CO)O)O)O)O,"pentane-1,2,3,4,5-pentol"
6-Deoxyhexopyranose,840,sweet,,840,C6H12O5,164.16,CC1C(C(C(C(O1)O)O)O)O,CC1C(C(C(C(O1)O)O)O)O,"6-methyloxane-2,3,4,5-tetrol"
fuculose,841,sweet,,841,C6H12O5,164.16,CC(C(C(C(=O)CO)O)O)O,CC(C(C(C(=O)CO)O)O)O,"1,3,4,5-tetrahydroxyhexan-2-one"
maltotriose,871,sweet,,871,C18H32O16,504.4,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,"2-[4,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
melibiose,872,sweet,,872,C12H22O11,342.30,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,"6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxane-2,3,4,5-tetrol"
DL-Tartaric acid,875,"caramellic,very mild",,875,C4H6O6,150.09,C(C(C(=O)O)O)(C(=O)O)O,C(C(C(=O)O)O)(C(=O)O)O,"2,3-dihydroxybutanedioic acid"
Dl-Methionine,876,"acidic,sulfurous,mild",,876,C5H11NO2S,149.21,CSCCC(C(=O)O)N,CSCCC(C(=O)O)N,2-amino-4-methylsulfanylbutanoic acid
methanethiol,878,"sulfur,garlic,gasoline,decomposing cabbage",,878,CH4S,48.11,CS,CS,methanethiol
methylglyoxal,880,"brown,ethereal,acidic,sweet,rum",,880,C3H4O2,72.06,CC(=O)C=O,CC(=O)C=O,2-oxopropanal
methanol,887,alcoholic,,887,CH4O,32.042,CO,CO,methanol
AC1L1AC8,927,sweet-like,,927,C15H23N5O13P2,543.32,C1C(C(C(O1)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O)O)O,C1C(C(C(O1)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O)O)O,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (3,4-dihydroxyoxolan-2-yl)methyl hydrogen phosphate"
naphthalene,931,"dry,pungent,tarry,tar",,931,C10H8,128.17,C1=CC=C2C=CC=CC2=C1,C1=CC=C2C=CC=CC2=C1,naphthalene
naringenin,932,bitter,,932,C15H12O5,272.25,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,"5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one"
nicotinamide,936,odorless,,936,C6H6N2O,122.12,C1=CC(=CN=C1)C(=O)N,C1=CC(=CN=C1)C(=O)N,pyridine-3-carboxamide
nitrous oxide,948,odorless,,948,N2O,44.013,[N-]=[N+]=O,[N-]=[N+]=O,nitrous oxide
1-octanol,957,"burnt,orange,rose,waxy,chemical,metal,aldehydic,mushroom,green",,957,C8H18O,130.23,CCCCCCCCO,CCCCCCCCO,octan-1-ol
water,962,odorless,,962,H2O,18.015,O,O,oxidane
3-Hydroxypyruvic acid,964,"sour,cabbage,radish",,964,C3H4O4,104.06,C(C(=O)C(=O)O)O,C(C(=O)C(=O)O)O,3-hydroxy-2-oxopropanoic acid
oxalic acid,971,Not Available,,971,C2H2O4,90.03,C(=O)(C(=O)O)O,C(=O)(C(=O)O)O,oxalic acid
hexadecanal,984,cardboard,,984,C16H32O,240.42,CCCCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCCC=O,hexadecanal
palmitic acid,985,"fatty,slightly waxy",,985,C16H32O2,256.42,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,hexadecanoic acid
AC1L1AHH,990,sweet-like,,990,C10H15N5O13P2S,507.27,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O)N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O)N,[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methyl sulfo hydrogen phosphate
Dl-Phenylalanine,994,odorless,,994,C9H11NO2,165.19,C1=CC=C(C=C1)CC(C(=O)O)N,C1=CC=C(C=C1)CC(C(=O)O)N,2-amino-3-phenylpropanoic acid
phenol,996,"phenol,plastic,rubber,phenolic",,996,C6H6O,94.11,C1=CC=C(C=C1)O,C1=CC=C(C=C1)O,phenol
phenylpyruvic acid,997,"almond,acidic,green,sweet,honey,weedy,phenolic",,997,C9H8O3,164.16,C1=CC=C(C=C1)CC(=O)C(=O)O,C1=CC=C(C=C1)CC(=O)C(=O)O,2-oxo-3-phenylpropanoic acid
phenylacetaldehyde,998,"hyacinth,honey,clover,sweet,hawthorne,cocoa,grapefruit,green,peanut,floral,bitter",,998,C8H8O,120.15,C1=CC=C(C=C1)CC=O,C1=CC=C(C=C1)CC=O,2-phenylacetaldehyde
Phenylacetic Acid,999,"honeysuckle,sour,waxy,floral,sweet,honey,civet,flower",,999,C8H8O2,136.15,C1=CC=C(C=C1)CC(=O)O,C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid
Phenethylamine,1001,"ammoniacal,fishy",,1001,C8H11N,121.18,C1=CC=C(C=C1)CCN,C1=CC=C(C=C1)CCN,2-phenylethanamine
Phosphoric acid,1004,bland,,1004,H3O4P,97.995,OP(=O)(O)O,OP(=O)(O)O,phosphoric acid
AC1L1AIZ,1008,sweet-like,,1008,C15H24N5O14P2+,560.32,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O,"[5-[6-amino-1-[3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]purin-1-ium-9-yl]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate"
AC1L1AJ2,1009,sweet-like,,1009,C15H26N5O20P4+,720.28,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O,"[[5-[6-amino-1-[3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]purin-1-ium-9-yl]-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate"
"1,2-propanediol",1030,"alcoholic,very slight,odorless",,1030,C3H8O2,76.09,CC(CO)O,CC(CO)O,"propane-1,2-diol"
1-propanol,1031,"alcoholic,fermented,alcohol,musty,fusel,pungent,peanut",,1031,C3H8O,60.10,CCCO,CCCO,propan-1-ol
propionic acid,1032,"cheesy,soy,acidic,vinegar,rancid,pungent",,1032,C3H6O2,74.08,CCC(=O)O,CCC(=O)O,propanoic acid
pyrazole,1048,bitter,,1048,C3H4N2,68.08,C1=CNN=C1,C1=CNN=C1,1H-pyrazole
Pyridine,1049,"sour,putrid,fishy,rancid,sickening,amine",,1049,C5H5N,79.10,C1=CC=NC=C1,C1=CC=NC=C1,pyridine
Pyruvic acid,1060,"acetic,sour,sharp,caramellic",,1060,C3H4O3,88.06,CC(=O)C(=O)O,CC(=O)C(=O)O,2-oxopropanoic acid
dimethyl sulfide,1068,"sulfur,sulfurous,cabbage,onion,gasoline,vegetable,sulfury,sweet corn,tomato,radish,wild,green",,1068,C2H6S,62.14,CSC,CSC,methylsulfanylmethane
"Sorbose, L-",1101,sweet,,1101,C6H12O6,180.16,C(C(C(C(C(=O)CO)O)O)O)O,C(C(C(C(C(=O)CO)O)O)O)O,"1,3,4,5,6-pentahydroxyhexan-2-one"
spermine,1103,Not Available,,1103,C10H26N4,202.34,C(CCNCCCN)CNCCCN,C(CCNCCCN)CNCCCN,"N,N'-bis(3-aminopropyl)butane-1,4-diamine"
succinic acid,1110,"sour,odorless",,1110,C4H6O4,118.09,C(CC(=O)O)C(=O)O,C(CC(=O)O)C(=O)O,butanedioic acid
